"name","price","chipset","memory","core_clock","boost_clock","color","length"
"Sparkle TITAN OC",319.99,"Arc A770",16,2100,2300,"Blue / Black",306
"PNY XLR8 Gaming VERTO EPIC-X RGB OC",1761.06," RTX 4090",24,2230,2565,"Black",332
"Asus ROG STRIX OC EVA-02",5024.6," RTX 4090",24,2235,2640,"Red / Black",358
"EVGA KO ULTRA GAMING",324.2," RTX 2060",6,1365,1755,"Black",202
"MSI RX 6600 XT MECH 2X 8G OC",433.51," RX 6600 XT",8,1968,2602,"Black / Silver",235
"MSI RTX 3070 GAMING X TRIO",550.66," RTX 3070",8,1500,1830,"Black / Silver",323
"MSI GAMING TRIO",1879.99," RTX 4090",24,2235,NA,"Black",337
"Gigabyte GAMING OC",399.99," RX 5700 XT",8,1650,1905,"Black",280
"Zotac GAMING Twin Edge",487.07," RTX 4060 Ti",8,2310,2535,"Black",226
"Asus ROG STRIX GAMING OC",1049.99," RTX 4070 Ti",12,2310,2790,"Black",336
"Asus STRIX GAMING OC",979," RTX 2080 Ti",11,1350,1665,"Black",305
"ASRock Phantom Gaming OC",299.99,"Arc A770",16,2100,NA,"Black",305
"Gigabyte GAMING OC",259.99," RTX 3050 8GB",8,1550,NA,"Black",282
"PowerColor Hellhound OC",829.99," RX 7900 XT",20,2000,2500,"White",320
"MSI GAMING X TRIO",1587," RTX 4080",16,2205,2610,"Black",337
"Asus TUF GAMING OC",439.99," RTX 4060 Ti",8,2310,2655,"Black",300
"MSI GAMING X SLIM",858.58," RTX 4070 SUPER",12,1980,2655,"White",307
"MSI LP OC",179.99," RTX 3050 6GB",6,1040,1492,"Black",174
"NVIDIA Founders Edition",746.96," RTX 2070 SUPER",8,1605,1770,"Silver",267
"MSI GAMING X",409.99," RTX 4060 Ti",8,2310,NA,"Black",247
"Gigabyte GAMING OC",409.99," RTX 4060 Ti",8,2310,NA,"Black",281
"Asus ROG STRIX GAMING OC",698.05," RTX 4070",12,1920,2640,"Black / Red",339
"ASRock Phantom Gaming OC",529.99," RX 7800 XT",16,1295,2565,"Black",328
"Asus ROG STRIX LC GAMING OC",3458.49," RTX 4090",24,2235,2640,"Black / Silver",293
"Asus ROG STRIX-GTX1070-O8G-GAMING",569.97," GTX 1070",8,1632,1860,"Black",298
"XFX Speedster SWFT 210 Core",229.99," RX 6650 XT",8,2055,2635,"Black",241
"Asus DUAL",512.43," GTX 1060 6GB",6,1594,1809,"White",242
"MSI RX 580 8G",260," RX 580",8,1257,1340,"Black / Red",243
"EVGA SC2",485," GTX 1080 Ti",11,1556,1670,"Silver",267
"MSI MECH 2X OC",279.99," RX 6650 XT",8,2055,NA,"Silver / Black",235
"Gigabyte AORUS MASTER",899.99," RTX 4070 Ti SUPER",16,2340,2670,"Black",342
"Asus ProArt OC",849.99," RTX 4070 Ti",12,2310,2760,"Black / Gold",300
"Sapphire NITRO+",947.48," RX 7900 XT",20,2000,2560,"Silver / Black",320
"Asus DUAL OC",530.65," RTX 3060 Ti",8,1410,1710,"White",230
"XFX Speedster SWFT 319",409.99," RX 6800 XT",16,1825,2250,"Black",340
"Asus DUAL OC",449," RTX 3060 12GB",12,1320,1867,"White",200
"Asus ROG STRIX GAMING OC",1608.48," RTX 4080",16,2205,2655,"Black / Red",358
"ASRock Challenger OC",259.99," RX 7600",8,1720,2695,"Black",269
"PNY XLR8 Gaming VERTO EPIC-X RGB",389.99," RTX 4060 Ti",8,2310,2535,"Black",305
"MSI GAMING X SLIM",819.82," RTX 4070",12,1920,2625,"White",307
