"name","price","speed","modules","price_per_gb","color","first_word_latency","cas_latency"
"Kingston FURY Beast 64 GB",219.99,"5,6000","2,32",3.437,"Black / Silver",12,36
"Corsair Vengeance 64 GB",279.99,"5,6600","4,16",4.375,"Black / Gray",9.697,32
"Corsair Vengeance LPX 32 GB",94.99,"4,3600","2,16",2.968,"Black / Yellow",8.889,16
"Corsair Vengeance LPX 16 GB",39.99,"4,3000","1,16",2.499,"Black",10.667,16
"Corsair Vengeance 32 GB",119.99,"5,6000","2,16",3.75,"Gray",12,36
"G.Skill Trident Z5 RGB 32 GB",239.99,"5,8000","2,16",7.5,"Black",9.5,38
"Corsair Dominator Platinum RGB 64 GB",224.99,"5,5600","2,32",3.515,"White",14.286,40
"TEAMGROUP T-Force Vulcan 32 GB",92.99,"5,5600","2,16",2.906,"Black",11.429,32
"TEAMGROUP T-Force Delta RGB 32 GB",99.99,"5,5600","2,16",3.125,"Black",11.429,32
"Corsair Vengeance RGB Pro 64 GB",149.99,"4,3200","2,32",2.344,"Black",10,16
"Kingston FURY Beast RGB 16 GB",81.99,"5,6000","2,8",5.124,"Black",13.333,40
"Corsair Vengeance RGB 64 GB",207.99,"5,6000","2,32",3.25,"Black",13.333,40
"Corsair Vengeance LPX 128 GB",264.99,"4,3200","4,32",2.07,"Black / Yellow",10,16
"TEAMGROUP T-Force Delta RGB 32 GB",121.99,"5,7200","2,16",3.812,"Black / White",9.444,34
"TEAMGROUP T-Force Delta RGB 16 GB",46.99,"4,3200","2,8",2.937,"Black",10,16
"Kingston KVR1333D3N9HK2/8G 8 GB",49.99,"3,1333","2,4",6.249,"Green",13.503,9
"Corsair Dominator Titanium 48 GB",279.99,"5,7600","2,24",5.833,"Black",9.474,36
"Corsair Vengeance RGB 64 GB",279.99,"5,6000","4,16",4.375,"Black",12,36
"TEAMGROUP Elite 16 GB",39.99,"5,4800","1,16",2.499,"Black",16.667,40
"Corsair Vengeance LPX 16 GB",54.99,"4,3600","2,8",3.437,"Black / Yellow",8.889,16
"G.Skill Trident Z Royal 128 GB",2265.13,"4,3200","4,32",17.696,"Gold",10,16
"Corsair Vengeance LPX 32 GB",92.99,"4,3600","4,8",2.906,"Black / Yellow",10,18
"Corsair Vengeance 96 GB",269.99,"5,5200","2,48",2.812,"Black",14.615,38
"TEAMGROUP T-Create Expert 32 GB",119.99,"5,7200","2,16",3.75,"Black",9.444,34
"G.Skill Trident Z RGB 256 GB",886.87,"4,3600","8,32",3.464,"",8.889,16
"Kingston FURY Beast 32 GB",84.99,"4,3600","2,16",2.656,"Black",10,18
