"name","price","tdp","date","socket","speed","turbo","cores"
"Intel Core i9-11900 @ 2.50GHz",399.99,65,"2021-04-01","LGA1200",2500,5200,8
"Intel Core i9-11900F @ 2.50GHz",399.99,65,"2021-04-01","LGA1200",2500,5200,8
"Intel Core i9-11900K @ 3.50GHz",371.99,125,"2021-01-01","LGA1200",3500,5200,8
"Intel Core i9-11900KF @ 3.50GHz",319.99,125,"2021-04-01","LGA1200",3500,5300,8
"Intel Core i9-11900T @ 1.50GHz",439,35,"2021-05-01","LGA1200",1500,4900,8
"Intel Core i9-12900",519.99,65,"2022-02-01","LGA1700",2400,5100,8
"Intel Core i9-12900F",515,65,"2022-01-01","LGA1700",2400,5100,8
"Intel Core i9-12900K",439.99,241,"2021-11-01","LGA1700",3200,5200,8
"Intel Core i9-12900KF",417.99,241,"2021-11-01","LGA1700",3200,5200,8
"Intel Core i9-12900KS",502.99,150,"2022-04-01","LGA1700",3400,5500,8
"Intel Core i9-12900T",489,35,"2022-01-01","LGA1700",1400,4900,8
"Intel Core i9-13900K",649,125,"2022-09-01","LGA1700",3000,5800,8
"Intel Core i9-13900KF",574.99,125,"2022-10-01","LGA1700",3000,5800,8
"Intel Core i9-9900 @ 3.10GHz",715.51,65,"2019-07-01","LGA1151-2",3100,5000,8
"Intel Core i9-9900K @ 3.60GHz",698.88,95,"2018-10-01","LGA1151-2",3600,5000,8
"Intel Core i9-9900KF @ 3.60GHz",409.99,95,"2019-04-01","LGA1151-2",3600,5000,8
"Intel Core i9-9900KS @ 4.00GHz",894.35,127,"2019-10-01","LGA1151-2",4000,5000,8
"Intel Core i9-9900T @ 2.10GHz",439,35,"2019-11-01","LGA1151-2",2100,4400,8
"Intel Pentium Gold G5400 @ 3.70GHz",99,54,"2018-04-01","LGA1151-2",3700,3700,2
"Intel Pentium Gold G5420 @ 3.80GHz",99.8,54,"2019-06-01","LGA1151-2",3800,3800,2
"Intel Pentium Gold G5420T @ 3.20GHz",64,35,"2019-10-01","LGA1151-2",3200,3200,2
"Intel Pentium Gold G5500 @ 3.80GHz",90.88,54,"2018-05-01","LGA1151-2",3800,3800,2
"Intel Pentium Gold G5500T @ 3.20GHz",75,35,"2018-05-01","LGA1151-2",3200,3200,2
"Intel Pentium Gold G5600 @ 3.90GHz",117.69,54,"2018-05-01","LGA1151-2",3900,3900,2
"Intel Pentium Gold G5600F @ 3.90GHz",74.95,54,"2019-10-01","LGA1151-2",3900,3900,2
"Intel Pentium Gold G5620 @ 4.00GHz",120,54,"2019-12-01","LGA1151-2",4000,4000,2
"Intel Pentium Gold G6400 @ 4.00GHz",68.99,58,"2020-07-01","LGA1200",4000,4000,2
"Intel Pentium Gold G6400T @ 3.40GHz",64,35,"2021-04-01","LGA1200",3400,3400,2
"Intel Pentium Gold G6405 @ 4.10GHz",59,58,"2021-06-01","LGA1200",4100,4100,2
"Intel Pentium Gold G6405T @ 3.50GHz",64,35,"2021-06-01","LGA1200",3500,3500,2
"Intel Pentium Gold G6500 @ 4.10GHz",89.99,58,"2020-10-01","LGA1200",4100,4100,2
"Intel Pentium Gold G6500T @ 3.50GHz",75,35,"2021-03-01","LGA1200",3500,3500,2
"Intel Pentium Gold G6505 @ 4.20GHz",75,58,"2021-08-01","LGA1200",4200,4200,2
"Intel Pentium Gold G6600 @ 4.20GHz",130.42,58,"2021-03-01","LGA1200",4200,4200,2
"Intel Pentium Gold G6605 @ 4.30GHz",164.99,58,"2021-07-01","LGA1200",4300,4300,2
"AMD Ryzen 9 5950X",2494.95,105,"2020-10-01","AM4",3400,4900,16
"Intel Core i5-12400F",352.9,65,"2022-01-01","LGA1700",2500,4400,6
