name,price,image,category,specifications,uid
Intel Core i3-10305 @ 3.80GHz,169.99,,CPU,"{'tdp': 65, 'date': '2021-06-01', 'socket': 'LGA1200', 'speed': 3800, 'turbo': 4500, 'cores': 4}",567df841-db5e-494f-b978-9a46db9bfc3e
Intel Core i3-10305T @ 3.00GHz,143.0,,CPU,"{'tdp': 35, 'date': '2021-06-01', 'socket': 'LGA1200', 'speed': 3000, 'turbo': 4000, 'cores': 4}",b910b7f4-13bc-42cc-bc5d-133a1e32b6f7
Intel Core i3-10320 @ 3.80GHz,139.99,,CPU,"{'tdp': 65, 'date': '2020-12-01', 'socket': 'LGA1200', 'speed': 3800, 'turbo': 4600, 'cores': 4}",b1dfdbdd-7a48-4b4d-866e-0b79006e05a3
Intel Core i3-10325 @ 3.90GHz,190.1,,CPU,"{'tdp': 65, 'date': '2022-01-01', 'socket': 'LGA1200', 'speed': 3900, 'turbo': 4700, 'cores': 4}",6944c066-2b85-46a0-b6a9-5287e297c70d
Intel Core i3-12100,122.0,,CPU,"{'tdp': 60, 'date': '2022-01-01', 'socket': 'LGA1700', 'speed': 3300, 'turbo': 4300, 'cores': 4}",e7b581a3-4612-4feb-98bc-cbacc9170aa6
Intel Core i3-12100F,115.99,,CPU,"{'tdp': 58, 'date': '2022-01-01', 'socket': 'LGA1700', 'speed': 3300, 'turbo': 4300, 'cores': 4}",646632e0-771f-4f85-8cca-71a888d5918d
Intel Core i3-12100T,122.0,,CPU,"{'tdp': 35, 'date': '2022-03-01', 'socket': 'LGA1700', 'speed': 2200, 'turbo': 4100, 'cores': 4}",5c56ae66-4b93-45a3-b6fd-044b7f90dfc6
Intel Core i3-12300,143.0,,CPU,"{'tdp': 60, 'date': '2022-02-01', 'socket': 'LGA1700', 'speed': 3500, 'turbo': 4400, 'cores': 4}",9b53f153-aa1d-4b61-b69a-43a6bcb8d9d3
Intel Core i3-12300T,157.0,,CPU,"{'tdp': 35, 'date': '2022-11-01', 'socket': 'LGA1700', 'speed': 2300, 'turbo': 4200, 'cores': 4}",6d599c33-863e-4b97-8ec2-c481aa607e73
Intel Core i3-8100T @ 3.10GHz,219.05,,CPU,"{'tdp': 35, 'date': '2018-08-01', 'socket': 'LGA1151-2', 'speed': 3100, 'turbo': 3100, 'cores': 4}",d1ef454e-3cde-4302-8048-3a45d0b25703
Intel Core i3-8300 @ 3.70GHz,169.97,,CPU,"{'tdp': 62, 'date': '2018-06-01', 'socket': 'LGA1151-2', 'speed': 3700, 'turbo': 3700, 'cores': 4}",6f1dc925-66c3-458c-97e8-bff312a1f706
Intel Core i3-8300T @ 3.20GHz,158.95,,CPU,"{'tdp': 25, 'date': '2018-06-01', 'socket': 'LGA1151-2', 'speed': 3200, 'turbo': 3200, 'cores': 4}",22a5daf0-a477-43cb-9cab-aa6e59254b18
Intel Core i3-9100 @ 3.60GHz,99.99,,CPU,"{'tdp': 65, 'date': '2019-06-01', 'socket': 'LGA1151-2', 'speed': 3600, 'turbo': 4200, 'cores': 4}",d044f038-7288-4c39-8f04-dfbb2df9a054
Intel Core i3-9100F @ 3.60GHz,98.99,,CPU,"{'tdp': 65, 'date': '2019-05-01', 'socket': 'LGA1151-2', 'speed': 3600, 'turbo': 4200, 'cores': 4}",0376c1a4-9511-4acb-a695-6fc8f0424562
Intel Core i3-9100T @ 3.10GHz,122.0,,CPU,"{'tdp': 35, 'date': '2019-07-01', 'socket': 'LGA1151-2', 'speed': 3100, 'turbo': 3700, 'cores': 4}",10834e10-04d9-4794-8a3b-c0e7319223a1
Intel Core i3-9300 @ 3.70GHz,255.0,,CPU,"{'tdp': 62, 'date': '2019-07-01', 'socket': 'LGA1151-2', 'speed': 3700, 'turbo': 4300, 'cores': 4}",67e306bf-bdef-4bde-83ad-4d91c22f3721
Intel Core i3-9300T @ 3.20GHz,143.0,,CPU,"{'tdp': 35, 'date': '2019-07-01', 'socket': 'LGA1151-2', 'speed': 3200, 'turbo': 3800, 'cores': 4}",17980443-89bc-41c3-b889-5ac72267daa1
Intel Core i3-9320 @ 3.70GHz,215.67,,CPU,"{'tdp': 62, 'date': '2019-09-01', 'socket': 'LGA1151-2', 'speed': 3700, 'turbo': 4400, 'cores': 4}",43187cfc-972d-4368-b591-e9e248bf68f2
Intel Core i3-9350KF @ 4.00GHz,146.07,,CPU,"{'tdp': 91, 'date': '2019-05-01', 'socket': 'LGA1151-2', 'speed': 4000, 'turbo': 4600, 'cores': 4}",b7b55d1f-dc6c-48a7-b6ab-b7e068cf4a62
Intel Core i5-10400 @ 2.90GHz,140.99,,CPU,"{'tdp': 65, 'date': '2020-05-01', 'socket': 'LGA1200', 'speed': 2900, 'turbo': 4300, 'cores': 6}",46611343-7750-46d7-a243-551bceabf26a
Intel Core i5-10400F @ 2.90GHz,121.09,,CPU,"{'tdp': 65, 'date': '2020-06-01', 'socket': 'LGA1200', 'speed': 2900, 'turbo': 4300, 'cores': 6}",2b44d801-aa19-4753-aaea-fa5bbc6b5383
Intel Core i5-10400T @ 2.00GHz,182.0,,CPU,"{'tdp': 35, 'date': '2020-08-01', 'socket': 'LGA1200', 'speed': 2000, 'turbo': 3600, 'cores': 6}",51ef003a-f608-44ac-8ba8-88bc731d2bb5
Intel Core i5-10500 @ 3.10GHz,195.99,,CPU,"{'tdp': 65, 'date': '2020-06-01', 'socket': 'LGA1200', 'speed': 3100, 'turbo': 4500, 'cores': 6}",fe927a36-e6ba-4a44-aae6-5189e7339c06
Intel Core i5-10500T @ 2.30GHz,192.0,,CPU,"{'tdp': 35, 'date': '2020-06-01', 'socket': 'LGA1200', 'speed': 2300, 'turbo': 3800, 'cores': 6}",a118d81b-4845-4222-8803-b27e39a19790
Intel Core i5-10600 @ 3.30GHz,208.42,,CPU,"{'tdp': 65, 'date': '2020-06-01', 'socket': 'LGA1200', 'speed': 3300, 'turbo': 4800, 'cores': 6}",17edcc93-a35c-405b-8d18-f193dc57f3e1
Intel Core i5-10600K @ 4.10GHz,176.92,,CPU,"{'tdp': 125, 'date': '2020-05-01', 'socket': 'LGA1200', 'speed': 4100, 'turbo': 4800, 'cores': 6}",2550e11c-a9bd-408c-a90f-ccaa482fc9fd
Intel Core i5-10600KF @ 4.10GHz,169.99,,CPU,"{'tdp': 125, 'date': '2020-07-01', 'socket': 'LGA1200', 'speed': 4100, 'turbo': 4800, 'cores': 6}",845c8281-760e-490d-a901-8ab0a12fa092
Intel Core i5-10600T @ 2.40GHz,213.0,,CPU,"{'tdp': 35, 'date': '2020-09-01', 'socket': 'LGA1200', 'speed': 2400, 'turbo': 4000, 'cores': 6}",20afaea8-1a8f-4c98-a77f-3060b71e3ccd
Intel Core i5-11400 @ 2.60GHz,144.83,,CPU,"{'tdp': 65, 'date': '2021-03-01', 'socket': 'LGA1200', 'speed': 2600, 'turbo': 4400, 'cores': 6}",bcace3d9-0fb5-448d-a7e3-e11f54040765
Intel Core i5-11400F @ 2.60GHz,130.0,,CPU,"{'tdp': 65, 'date': '2021-03-01', 'socket': 'LGA1200', 'speed': 2600, 'turbo': 4400, 'cores': 6}",362be273-4b3b-46ec-a0f1-fc75821b1fcd
Intel Core i5-11400T @ 1.30GHz,182.0,,CPU,"{'tdp': 35, 'date': '2021-06-01', 'socket': 'LGA1200', 'speed': 1300, 'turbo': 3700, 'cores': 6}",ab38c4f6-70b4-4554-a771-215ebd5d472c
Intel Core i5-11500 @ 2.70GHz,222.73,,CPU,"{'tdp': 65, 'date': '2021-04-01', 'socket': 'LGA1200', 'speed': 2700, 'turbo': 4600, 'cores': 6}",17151f64-d139-4d53-a7ee-3360fcea0087
Intel Core i5-11500T @ 1.50GHz,192.0,,CPU,"{'tdp': 35, 'date': '2021-09-01', 'socket': 'LGA1200', 'speed': 1500, 'turbo': 3900, 'cores': 6}",e484763e-8b42-4f1b-8c94-f93b2fb61ef2
Intel Core i5-11600 @ 2.80GHz,247.98,,CPU,"{'tdp': 65, 'date': '2021-04-01', 'socket': 'LGA1200', 'speed': 2800, 'turbo': 4800, 'cores': 6}",8e2414b1-4b28-4a38-8ef3-1165c1313046
Intel Core i5-11600K @ 3.90GHz,214.99,,CPU,"{'tdp': 125, 'date': '2021-04-01', 'socket': 'LGA1200', 'speed': 3900, 'turbo': 4900, 'cores': 6}",33cbaf5d-d7c7-40f3-889a-f0c510e6ae23
Intel Core i5-11600KF @ 3.90GHz,196.94,,CPU,"{'tdp': 125, 'date': '2021-04-01', 'socket': 'LGA1200', 'speed': 3900, 'turbo': 4900, 'cores': 6}",a22efd58-28c0-4020-9ca2-4f15f8420715
Intel Core i5-11600T @ 1.70GHz,213.0,,CPU,"{'tdp': 35, 'date': '2021-11-01', 'socket': 'LGA1200', 'speed': 1700, 'turbo': 4100, 'cores': 6}",c92c02a7-0aab-4ef0-910b-fb8cac017597
Intel Core i5-12400,192.0,,CPU,"{'tdp': 65, 'date': '2022-01-01', 'socket': 'LGA1700', 'speed': 2500, 'turbo': 4400, 'cores': 6}",be53b1f3-b334-440a-b988-6b2b6cfdbc5f
Intel Core i5-12400F,176.45,,CPU,"{'tdp': 65, 'date': '2022-01-01', 'socket': 'LGA1700', 'speed': 2500, 'turbo': 4400, 'cores': 6}",3311dca4-2d12-489e-ade6-1120743727b2
