"","name","price","socket","form_factor","max_memory","memory_slots","color"
"145","MSI MEG X670E GODLIKE",1287.01,"AM5","EATX",192,4,"Black"
"146","Asus TUF GAMING B550M-PLUS WIFI II",202.34,"AM4","Micro ATX",128,4,"Black / Gray"
"147","MSI PRO Z790-S WIFI",169.99,"LGA1700","ATX",192,4,"Black"
"148","Asus ROG STRIX X670E-A GAMING WIFI",334.99,"AM5","ATX",192,4,"Silver / Black"
"149","ASRock H370M-HDV",74.95,"LGA1151-2","Micro ATX",64,2,"Black / Silver"
"150","ASRock B550 Phantom Gaming-ITX/ax",159.99,"AM4","Mini ITX",64,2,"Silver / Black"
"151","Asus PRIME B660M-A WIFI D4",171.27,"LGA1700","Micro ATX",128,4,"Silver / Black"
"152","MSI MAG B760M MORTAR WIFI II",179.99,"LGA1700","Micro ATX",192,4,"Silver / Black"
"153","Asus ROG STRIX Z790-A GAMING WIFI D4",219.99,"LGA1700","ATX",128,4,"Black / Silver"
"154","MSI MAG B650M MORTAR WIFI",199.95,"AM5","Micro ATX",192,4,"Black"
"155","MSI MPG Z790I EDGE WIFI",297.83,"LGA1700","Mini ITX",96,2,"Silver / Black"
"156","MSI PRO B550-VC",139.99,"AM4","ATX",128,4,"Black"
"157","Gigabyte Z790 AORUS ELITE AX ICE",259.99,"LGA1700","ATX",192,4,"Silver / White"
"158","Asus PRIME B550-PLUS",109.99,"AM4","ATX",128,4,"Black / White"
"159","ASRock B760M Pro RS/D4 WiFi",148.99,"LGA1700","Micro ATX",128,4,"Silver / Black"
"160","ASRock X670E PG Lightning",238.76,"AM5","ATX",192,4,"Black"
"161","Gigabyte A520M S2H",80.48,"AM4","Micro ATX",64,2,"Black"
"162","ASRock B550 Phantom Gaming 4",89.99,"AM4","ATX",128,4,"Silver / Black"
"163","MSI MAG Z790 TOMAHAWK MAX WIFI",269.99,"LGA1700","ATX",192,4,"Black / Yellow"
"164","MSI PRO-H610M-E-DDR4",91.11,"LGA1700","Micro ATX",64,2,"Black"
"165","Gigabyte H510M K V2",84.73,"LGA1200","Micro ATX",64,2,"Black / Gray"
"166","Asus PRIME Z790-A WIFI",249,"LGA1700","ATX",192,4,"Black / Silver"
"167","Asus PRIME A320M-K",68.98,"AM4","Micro ATX",32,2,"Black / White"
"168","Asus ROG STRIX B450-F GAMING II",NA,"AM4","ATX",128,4,"Black"
"169","MSI MPG X670E CARBON WIFI",409.99,"AM5","ATX",192,4,"Black"
"170","MSI B760M GAMING PLUS WIFI",NA,"LGA1700","Micro ATX",192,4,"Black / Silver"
"171","ASRock B650M PG Lightning Wifi",NA,"AM5","Micro ATX",192,4,"Silver / Black"
"172","Asus ROG MAXIMUS Z790 HERO",529.99,"LGA1700","ATX",192,4,"Black"
"173","ASRock B450M Steel Legend",89.99,"AM4","Micro ATX",64,4,"Black / White"
"174","Gigabyte Z790 AORUS ELITE X AX",229.99,"LGA1700","ATX",192,4,"Black"
"175","MSI MPG B650 EDGE WIFI",227.99,"AM5","ATX",192,4,"Black / Silver"
"176","Asus PRIME X670E-PRO WIFI",299.76,"AM5","ATX",192,4,"Silver / Black"
"177","ASRock B650 LiveMixer",138.99,"AM5","ATX",192,4,"Orange / Black"
"178","MSI PRO Z790-P WIFI DDR4",201.19,"LGA1700","ATX",128,4,"Black / Silver"
"179","Asus PRIME B650M-A WIFI II",226.56,"AM5","Micro ATX",192,4,"Black / Silver"
"180","Asus PRIME B550-PLUS AC-HES",109.99,"AM4","ATX",128,4,"Silver / Black"
"181","MSI PRO Z790-A WIFI",219.99,"LGA1700","ATX",192,4,"Black / Silver"
"182","Asus PRIME H510M-A WIFI",109.99,"LGA1200","Micro ATX",64,2,"Black / Silver"
"183","ASRock B760M PG SONIC WiFi",189.99,"LGA1700","Micro ATX",192,4,"Blue / Silver"
"184","Asus TUF GAMING A620M-PLUS WIFI",148.99,"AM5","Micro ATX",192,4,"Black / Orange"
"185","ASRock B650 PRO RS",244.21,"AM5","ATX",192,4,"Black / Silver"
